Vertical,Red_Social,Modelo,Fecha,Predicciones
juegos,YT_Shorts,Prophet,2025-07-01,577491.5480369467
juegos,YT_Shorts,Prophet,2025-08-01,1733673.4649451785
juegos,YT_Shorts,Prophet,2025-09-01,45626.30935333102
juegos,YT_Shorts,Prophet,2025-10-01,1728534.4413215471
juegos,YT_Shorts,Prophet,2025-11-01,40487.28573722925
juegos,YT_Shorts,Prophet,2025-12-01,1723395.4177065406
tech,YT_Shorts,RNN,2025-07-01,1347167.375
tech,YT_Shorts,RNN,2025-08-01,1678444.875
tech,YT_Shorts,RNN,2025-09-01,1445130.875
tech,YT_Shorts,RNN,2025-10-01,1478602.75
tech,YT_Shorts,RNN,2025-11-01,1426702.25
tech,YT_Shorts,RNN,2025-12-01,1423822.875
tech,YT_Long,RNN,2025-07-01,137284.234375
tech,YT_Long,RNN,2025-08-01,160336.71875
tech,YT_Long,RNN,2025-09-01,134925.734375
tech,YT_Long,RNN,2025-10-01,108813.7890625
tech,YT_Long,RNN,2025-11-01,115989.34375
tech,YT_Long,RNN,2025-12-01,117584.3828125
comida,FB,RNN,2025-07-01,26115728.0
comida,FB,RNN,2025-08-01,20908110.0
comida,FB,RNN,2025-09-01,30373350.0
comida,FB,RNN,2025-10-01,21769626.0
comida,FB,RNN,2025-11-01,34890172.0
comida,FB,RNN,2025-12-01,27763672.0
cine,IG,RNN,2025-07-01,31458712.0
cine,IG,RNN,2025-08-01,12092154.0
cine,IG,RNN,2025-09-01,21633024.0
cine,IG,RNN,2025-10-01,30972588.0
cine,IG,RNN,2025-11-01,17395132.0
cine,IG,RNN,2025-12-01,14697647.0
comida,TikTok,RNN,2025-07-01,6522907.5
comida,TikTok,RNN,2025-08-01,6314379.0
comida,TikTok,RNN,2025-09-01,6743645.5
comida,TikTok,RNN,2025-10-01,7538649.0
comida,TikTok,RNN,2025-11-01,8463661.0
comida,TikTok,RNN,2025-12-01,8927219.0
juegos,YT_Long,RNN,2025-07-01,1462096.625
juegos,YT_Long,RNN,2025-08-01,1822547.375
juegos,YT_Long,RNN,2025-09-01,1350075.75
juegos,YT_Long,RNN,2025-10-01,1516990.0
juegos,YT_Long,RNN,2025-11-01,1634938.875
juegos,YT_Long,RNN,2025-12-01,1837317.125
